name,mass,year,lat,lng,recclass,group,fall,id
Havana,0.0,301,40.3333,-90.05,"Iron, IAB complex",Iron,Found,11857
Wietrzno-Bobrka,376.0,601,49.4167,21.7,Iron,Iron,Found,24259
Nogata,472.0,860,33.725,130.75,L6,Stony,Fell,16988
Narni,0.0,920,42.5167,12.5167,Stone-uncl,Stony,Fell,16914
Elbogen,107000.0,1399,50.1833,12.7333,"Iron, IID",Iron,Fell,7823
Rivolta de Bassi,103.3,1490,45.4833,9.5167,Stone-uncl,Stony,Fell,22614
Ensisheim,127000.0,1491,47.8667,7.35,LL6,Stony,Fell,10039
Valdinoce,0.0,1495,44.0667,12.1,Stone-uncl,Stony,Fell,24146
Oliva-Gandia,0.0,1519,39.0,-0.0333,Stone-uncl,Stony,Fell,18012
Campo del Cielo,50000000.0,1575,-27.4667,-60.5833,"Iron, IAB-MG",Iron,Found,5247
Castrovillari,15000.0,1583,39.8,16.2,Stone-uncl,Stony,Fell,5295
Morito,10100000.0,1600,27.05,-105.4333,"Iron, IIIAB",Iron,Found,16745
Jalandhar,1967.0,1621,31.0,75.0,Iron,Iron,Fell,12069
Stretchleigh,10400.0,1623,50.3833,-3.95,Stone-uncl,Stony,Fell,23732
Hatford,29000.0,1628,51.65,-1.5167,Stone-uncl,Stony,Fell,11855
Minamino,1040.0,1632,35.0783,136.9333,L,Stony,Fell,16692
Sagan,0.0,1636,51.5333,14.8833,Stone-uncl,Stony,Fell,22796
Mount Vaisi,17000.0,1637,44.0833,6.8667,Stone-uncl,Stony,Fell,16805
Stolzenau,0.0,1647,52.5333,9.05,Stone-uncl,Stony,Fell,23726
Fünen,0.0,1654,55.3333,10.3333,Stone-uncl,Stony,Fell,10838
Novy-Ergi,0.0,1662,58.55,31.3333,Stone-uncl,Stony,Fell,17934
Vago,40.0,1668,45.4167,11.1333,H6,Stony,Fell,24143
Ortenau,4500.0,1671,48.5,8.0,Stone-uncl,Stony,Fell,18033
Sasagase,695.0,1688,34.7167,137.7833,H,Stony,Fell,23187
